company_name,record_type,entity_type,stage,priority,status,days_since_last_contact,days_until_event,overdue_count,related_count,score,label
GO GREEN NURSERY PVT LTD,meeting,deal,P2,Low,scheduled,0,0,1,3,23,Low
Perfect Graphics,meeting,deal,P2,Medium,scheduled,11,0,1,3,27.83,Medium
Rainbow Print,followup,deal,P2,Medium,pending,15,0,2,3,32.5,High
Global Services,followup,deal,P2,Medium,pending,32,0,2,2,33.33,High
Sangam Enterprises,meeting,deal,P2,Medium,scheduled,2,0,1,3,26.33,Medium
SREE ADS,meeting,lead,P2,Low,scheduled,51,0,4,2,30.5,Medium
SIGN WAVE,followup,deal,P2,Low,pending,10,0,0,3,24.67,Low
Curativiti Ideas,meeting,lead,P2,Low,scheduled,45,0,5,2,31.5,Medium
Yash  graphics,followup,lead,P2,High,pending,35,0,5,2,37.83,High
Jadhav n sons,meeting,lead,P2,High,scheduled,28,0,2,3,30.67,Medium
SIGN EXPO,meeting,lead,P2,High,scheduled,48,0,5,2,38,High
sky arts,meeting,deal,P2,High,scheduled,10,0,0,4,30.67,Medium
Pioneer Enterprises,followup,deal,P2,High,pending,44,0,4,1,40.33,High
Aaptec,meeting,lead,P2,High,scheduled,37,0,3,1,30.17,Medium
Visicom System,meeting,lead,P2,Low,scheduled,16,0,2,5,26.67,Medium
Pantone Media Solutions LLP,meeting,lead,P2,Medium,scheduled,42,0,1,1,24,Low
GLOW SIGN DIGITAL ARTS,meeting,deal,P2,High,scheduled,50,0,3,4,43.33,High
Smart Designs,meeting,lead,P2,Low,scheduled,3,0,1,3,18.5,Low
GK ADS,followup,deal,P2,Low,pending,4,0,0,2,21.67,Low
Fusion Digital,meeting,deal,P2,Low,scheduled,39,0,4,4,37.5,High
suman deep gs,meeting,lead,P2,Medium,scheduled,13,0,1,3,23.17,Low
Mavrica Graphics,meeting,deal,P2,Low,scheduled,6,0,1,0,18,Low
Sun Designss,followup,lead,P2,High,pending,53,0,4,3,40.83,High
Maythird Design,followup,lead,P2,Low,pending,5,0,2,1,18.83,Low
Sugilite & Associates,meeting,deal,P2,Medium,scheduled,36,0,5,3,40,High
Multi Signs,meeting,deal,P2,High,scheduled,7,0,3,1,30.17,Medium
Compart Design,followup,lead,P2,Low,pending,53,0,5,5,40.83,High
Milestone Corporation,meeting,lead,P2,High,scheduled,53,0,3,3,36.83,High
Anomishere,meeting,lead,P2,Low,scheduled,9,0,0,2,15.5,Low
Sincere Architects,meeting,lead,P2,Medium,scheduled,0,0,1,3,21,Low
VVT Communication (P) Ltd.,meeting,lead,P2,Medium,scheduled,34,0,2,2,26.67,Medium
Relight,meeting,deal,P2,Low,scheduled,18,0,1,1,22,Low
Imazzle advertising pvt ltd,meeting,deal,P2,Medium,scheduled,0,0,1,4,28,Medium
Akshay Arts,followup,deal,P2,High,pending,32,0,5,2,42.33,High
Sakura Signs Pvt Ltd,meeting,lead,P2,High,scheduled,4,0,2,5,30.67,Medium
Omega Construction,meeting,deal,P2,Medium,scheduled,16,0,3,3,32.67,High
Orion,meeting,deal,P2,Low,scheduled,0,0,0,4,23,Low
Signex,followup,deal,P2,Low,pending,55,0,3,4,40.17,High
MUDRA DIGITAL,followup,deal,P2,High,pending,24,0,4,4,43,High
Autoconz Consulting Group,followup,lead,P2,Medium,pending,19,0,3,5,34.17,High
Impression Design & Print,meeting,lead,P2,Low,scheduled,22,0,4,2,25.67,Medium
SUPER SIGNS CREATION LLP,meeting,deal,P2,Low,scheduled,6,0,2,3,26,Medium
First Page,followup,lead,P2,Low,pending,0,0,0,2,16,Low
Aqsa Graphics,followup,deal,P2,Low,pending,0,0,1,5,29,Medium
"SDR Enterprises,",meeting,deal,P2,Low,scheduled,0,0,2,3,25,Medium
A One Intex,meeting,deal,P2,High,scheduled,50,0,5,1,41.33,High
arihant  signs,followup,deal,P2,Medium,pending,39,0,1,3,34.5,High
Visions DIS India Pvt. Ltd.,meeting,lead,P2,High,scheduled,6,0,2,3,27,Medium
The Monarch  Enterprises,followup,lead,P2,Medium,pending,51,0,4,4,39.5,High
Khadilkar process stodio,followup,deal,P2,Low,pending,22,0,1,4,30.67,Medium
VK:a Architecture,followup,deal,P2,Low,pending,51,0,4,5,43.5,High
Singai signs,meeting,deal,P2,High,scheduled,25,0,3,2,35.17,High
Shri Balaji Agencies,followup,lead,P2,High,pending,49,0,4,1,36.17,High
Satin Neo Dimension Pvt. Ltd.,followup,deal,P2,Low,pending,2,0,2,2,25.33,Medium
SIGNHUB,meeting,deal,P2,Medium,scheduled,29,0,0,1,24.83,Low
Media event advertising and private ltd,followup,deal,P2,Low,pending,41,0,5,3,39.83,High
CRD ENTERPRISES,followup,deal,P2,Low,pending,29,0,4,2,33.83,High
Laxman sign makers,meeting,deal,P2,Medium,scheduled,48,0,3,2,36,High
P2 graphics and sign board,meeting,lead,P2,Low,scheduled,45,0,3,4,31.5,Medium
XS,followup,deal,P2,Medium,pending,28,0,5,4,42.67,High
Alprintz,followup,deal,P2,High,pending,46,0,5,1,42.67,High
shade graphics,followup,lead,P2,High,pending,26,0,3,1,30.33,Medium
CREATIVERACE SIGNS & PROJECTS PVT. LTD.,meeting,lead,P2,Low,scheduled,13,0,0,2,16.17,Low
SOUNDARYA DIGITAL ARTS,meeting,deal,P2,Low,scheduled,9,0,1,2,22.5,Low
INFINITY PRINT AND SIGNAGE INDUSTRIES,meeting,lead,P2,High,scheduled,36,0,5,3,38,High
Mahakali prints,meeting,lead,P2,High,scheduled,58,0,2,2,33.67,High
PRATIBHA PRESS AND MULTIMEDIA PVT LTD,meeting,deal,P2,Medium,scheduled,43,0,3,3,37.17,High
JSD RETAILS (OPS) PVT. LTD.,followup,deal,P2,Medium,pending,10,0,2,4,33.67,High
Bharath Graphics,followup,deal,P2,Low,pending,11,0,2,3,28.83,Medium
S T ENTERPRISES,meeting,lead,P2,Medium,scheduled,4,0,1,3,21.67,Low
A.K.Enterprise,meeting,deal,P2,Low,scheduled,7,0,1,5,28.17,Medium
Welpac,followup,deal,P2,High,pending,36,0,5,2,43,High
Test Rutika Client,followup,deal,P2,High,pending,16,0,2,1,31.67,Medium
Liftbyte Automation Private Limited,meeting,lead,P2,Low,scheduled,1,0,0,3,16.17,Low
Global Enterprises,meeting,lead,P2,Medium,scheduled,35,0,4,2,30.83,Medium
Healthy Fabrication,meeting,deal,P2,High,scheduled,19,0,2,5,38.17,High
Sign at Site,meeting,deal,P2,Low,scheduled,25,0,1,2,25.17,Medium
Sarode Arts And Gifts,meeting,deal,P2,Low,scheduled,10,0,5,4,34.67,High
Inter Ext Pvt. Ltd,meeting,lead,P2,Low,scheduled,13,0,1,2,18.17,Low
Chitra Art Glass Studio,followup,deal,P2,High,pending,57,0,2,4,44.5,High
Signex,followup,deal,P2,Medium,pending,27,0,3,2,34.5,High
Innovative Associates,meeting,lead,P2,Low,scheduled,19,0,2,2,21.17,Low
JYOTI TRADING COMPANY,meeting,deal,P2,Medium,scheduled,27,0,4,2,34.5,High
Chankya,meeting,lead,P2,Medium,scheduled,39,0,1,2,25.5,Medium
Faith Inc,followup,deal,P2,Medium,pending,24,0,3,4,38,High
Amit Khandelwal,meeting,lead,P2,High,scheduled,40,0,5,2,36.67,High
SIGN TRONIX,meeting,deal,P2,Low,scheduled,12,0,2,1,23,Low
Taksh,meeting,deal,P2,High,scheduled,42,0,4,2,40,High
Singh Graphics,followup,deal,P2,Medium,pending,13,0,3,2,32.17,High
Cosmo sign,meeting,deal,P2,Low,scheduled,4,0,2,1,21.67,Low
Manjarabad Infrastructure Pvt Ltd,meeting,deal,P2,Low,scheduled,10,0,2,1,22.67,Low
SIGNAGE SOLUTIONS - pune,meeting,lead,P2,Medium,scheduled,38,0,4,3,33.33,High
ISHWARI GRAPHICS,followup,deal,P2,High,pending,47,0,3,5,46.83,High
SHAPES COMMUNICATIONS PVT LTD,meeting,deal,P2,Low,scheduled,6,0,1,3,24,Low
RELIABLE ENGINEERS,followup,deal,P2,Low,pending,12,0,2,3,29,Medium
Omega Designs,meeting,deal,P2,Low,scheduled,1,0,2,3,25.17,Medium
LMP H shop,meeting,lead,P2,High,scheduled,40,0,3,2,32.67,High
Ulka creation,followup,deal,P2,Low,pending,1,0,0,1,19.17,Low
Solcom,followup,deal,P2,High,pending,1,0,0,4,31.17,Medium
INSTA MARK PVT LTD,meeting,deal,P2,Medium,scheduled,34,0,3,3,35.67,High
True Ads Pvt Ltd,followup,lead,P2,High,pending,3,0,1,3,26.5,Medium
Mahalakshmi Marketing,followup,deal,P2,Low,pending,40,0,3,2,33.67,High
Xenon Signage,followup,deal,P2,Low,pending,14,0,3,5,35.33,High
RANGTARA ARTS,followup,deal,P2,Medium,pending,20,0,3,5,39.33,High
GINNI ENTERPRISES,meeting,deal,P2,High,scheduled,39,0,3,2,37.5,High
EKTA ARTS,followup,deal,P2,Low,pending,10,0,1,4,28.67,Medium
nutan,followup,deal,P2,Medium,pending,56,0,3,2,39.33,High
"MIPL Global Design Pvt Ltd.,",followup,deal,P2,Medium,pending,22,0,1,1,27.67,Medium
Sri lepakshi enterprises,followup,lead,P2,Medium,pending,11,0,1,2,22.83,Low
Aakruti Acrymould,meeting,lead,P2,Low,scheduled,41,0,4,5,34.83,High
Nitin Attarde,followup,deal,P2,Medium,pending,10,0,4,2,33.67,High
Kala Indesign,meeting,lead,P2,Low,scheduled,14,0,1,1,16.33,Low
CANWHART,meeting,deal,P2,Medium,scheduled,13,0,1,5,32.17,High
m.m. creation,followup,lead,P2,Medium,pending,7,0,3,2,26.17,Medium
Xandril media,meeting,deal,P2,High,scheduled,0,0,1,4,31,Medium
om sai graphics,meeting,deal,P2,Low,scheduled,15,0,1,4,27.5,Medium
CHINTAMANI Creation,followup,lead,P2,High,pending,60,0,4,4,44,High
CANWHART,meeting,deal,P2,Medium,scheduled,45,0,2,5,39.5,High
J tronics,followup,deal,P2,High,pending,5,0,1,4,33.83,High
Siddhakash digital world,followup,deal,P2,Medium,pending,24,0,2,5,38,High
Sai Flex & Vinyl Printing,followup,deal,P2,Medium,pending,28,0,2,3,34.67,High
Inovatiq,followup,deal,P2,High,pending,23,0,2,3,36.83,High
PRABHAT SIGNS,followup,deal,P2,Low,pending,13,0,1,1,23.17,Low
Omkar Arts,meeting,deal,P2,High,scheduled,47,0,3,3,40.83,High
GINNI ENTERPRISES,followup,lead,P2,High,pending,57,0,4,3,41.5,High
Drishya Enterprises,followup,lead,P2,Low,pending,14,0,3,2,24.33,Low
LPFLEX Sign India Pvt. Ltd.,meeting,lead,P2,Medium,scheduled,32,0,5,3,34.33,High
Supreme Digitals,followup,deal,P2,Low,pending,2,0,2,4,29.33,Medium
Sign Siddhi,meeting,deal,P2,Low,scheduled,10,0,1,2,22.67,Low
Charushila Kuwar,followup,deal,P2,High,pending,38,0,3,1,37.33,High
TRENDGEN WORLD,meeting,deal,P2,Low,scheduled,0,0,2,2,23,Low
Interior Exterior Design Studio,meeting,lead,P2,Medium,scheduled,0,0,1,4,23,Low
Info sign,meeting,deal,P2,Medium,scheduled,33,0,3,3,35.5,High
INS & OUT,meeting,deal,P2,Low,scheduled,7,0,0,3,22.17,Low
Perfect colors,followup,deal,P2,High,pending,28,0,1,2,33.67,High
Masterpieces Signage,meeting,lead,P2,High,scheduled,18,0,2,2,27,Medium
ONE SOURCE ENTERPRISES,meeting,lead,P2,Medium,scheduled,29,0,1,3,25.83,Medium
Aesthesy,meeting,deal,P2,High,scheduled,38,0,4,1,37.33,High
Adnest Media LLP,meeting,lead,P2,Medium,scheduled,23,0,2,5,30.83,Medium
V ART'S,meeting,deal,P2,Low,scheduled,0,0,2,1,21,Low
PM traders,meeting,deal,P2,Medium,scheduled,24,0,3,5,38,High
Era turn key Projects,meeting,lead,P2,High,scheduled,55,0,3,5,41.17,High
NCC Ltd - WTC,meeting,lead,P2,Medium,scheduled,28,0,3,3,29.67,Medium
Marcon Signage Pvt Ltd,followup,lead,P2,High,pending,12,0,1,3,28,Medium
Unilux LED Lighting Technology,followup,deal,P2,High,pending,60,0,3,5,49,High
JD Sign Service,meeting,deal,P2,High,scheduled,15,0,2,3,33.5,High
Signage Matters,meeting,deal,P2,Medium,scheduled,43,0,5,2,39.17,High
Black Papper,followup,deal,P2,Medium,pending,21,0,4,3,37.5,High
Ad Net Advertising,meeting,deal,P2,Medium,scheduled,42,0,4,1,35,High
Shree Onkar Arts,meeting,lead,P2,Medium,scheduled,5,0,0,3,19.83,Low
Nova Ads/Expo,followup,lead,P2,Medium,pending,45,0,3,3,34.5,High
DEEPAK ENGINEERING WORKAS,meeting,deal,P2,Medium,scheduled,10,0,1,5,31.67,Medium
Cherry Arts,meeting,deal,P2,Low,scheduled,0,0,1,3,23,Low
Instawings India pvt. Ltd,meeting,lead,P2,Medium,scheduled,9,0,2,1,20.5,Low
Fusion Digital,followup,deal,P2,Low,pending,7,0,1,1,22.17,Low
CUSTOM WRAPS INDIA PRIVATE LIMITED,meeting,deal,P2,Low,scheduled,22,0,3,5,34.67,High
Classic Advertising,followup,lead,P2,Medium,pending,35,0,3,2,30.83,Medium
Hipixo photography,followup,lead,P2,High,pending,40,0,5,3,40.67,High
Nucleus Graphics,followup,lead,P2,Medium,pending,10,0,2,3,26.67,Medium
SHREY DIGITALS,followup,lead,P2,Low,pending,12,0,1,1,18,Low
ZAHID AD,followup,lead,P2,Low,pending,5,0,2,2,20.83,Low
GRAPHO TECH,followup,lead,P2,Low,pending,4,0,0,2,16.67,Low
MMERAKI,meeting,lead,P2,Medium,scheduled,31,0,3,1,26.17,Medium
Romney Arts,followup,lead,P2,High,pending,57,0,3,4,41.5,High
IKIO Solutions Pvt Limited,followup,deal,P2,Low,pending,9,0,2,2,26.5,Medium
AL-SAMA,meeting,lead,P2,Low,scheduled,11,0,2,3,21.83,Low
Sri Azubodha,followup,deal,P2,High,pending,48,0,4,3,45,High
Pioneer Enterprises,followup,lead,P2,Medium,pending,25,0,2,3,29.17,Medium
CUSTOM WRAPS INDIA PRIVATE LIMITED,meeting,deal,P2,Medium,scheduled,8,0,4,3,33.33,High
Dharshan Adss,meeting,deal,P2,Low,scheduled,47,0,5,1,34.83,High
I-OSign International Pvt Ltd,meeting,lead,P2,Medium,scheduled,35,0,3,4,32.83,High
First Impression Systems,meeting,deal,P2,Medium,scheduled,35,0,3,5,39.83,High
SHREE GANESH OFFSET PRINTING,followup,lead,P2,Medium,pending,16,0,1,1,21.67,Low
Parasuram Enterprises,followup,deal,P2,Medium,pending,8,0,0,5,31.33,Medium
Sign Time Display Systems,followup,deal,P2,Low,pending,13,0,4,2,31.17,Medium
Nilraj signage and display board,meeting,lead,P2,Medium,scheduled,47,0,5,3,36.83,High
Shiva Arts,meeting,deal,P2,High,scheduled,35,0,3,5,42.83,High
Srushti Neons,meeting,deal,P2,High,scheduled,57,0,4,1,40.5,High
Chanel Signs,followup,deal,P2,Medium,pending,41,0,5,4,44.83,High
Jukuna Associates,followup,lead,P2,High,pending,51,0,5,3,42.5,High
A one Arts,followup,deal,P2,Low,pending,35,0,4,3,36.83,High
SIGN EXPO,followup,lead,P2,High,pending,46,0,1,2,31.67,Medium
UNIQUE NEON,meeting,deal,P2,Low,scheduled,12,0,1,1,21,Low
Sign-In,meeting,deal,P2,Low,scheduled,4,0,2,3,25.67,Medium
M/S Arpita Frame Gallery,meeting,deal,P2,Medium,scheduled,17,0,1,4,30.83,Medium
Maharaja display products business,meeting,deal,P2,Low,scheduled,0,0,0,1,17,Low
Dharshan Adss,followup,lead,P2,Medium,pending,36,0,1,4,31,Medium
Signtime Display systems,meeting,lead,P2,Low,scheduled,10,0,1,4,21.67,Low
Studio INTERIX,meeting,deal,P2,High,scheduled,50,0,3,5,45.33,High
Multisyn,followup,deal,P2,Medium,pending,12,0,4,4,38,High
THE DEVINE ART,followup,deal,P2,High,pending,53,0,4,3,45.83,High
Mahavir color lab,followup,deal,P2,Medium,pending,32,0,2,2,33.33,High
Siddhakash digital world,followup,deal,P2,Low,pending,9,0,0,5,28.5,Medium
CHINTAMANI Creation,followup,deal,P2,Low,pending,29,0,3,2,31.83,Medium
VJR Signs,followup,deal,P2,Low,pending,15,0,3,3,31.5,Medium
Vivek traders,followup,lead,P2,Low,pending,46,0,4,2,31.67,Medium
Ubiquitous Signs Pvt. Ltd.,followup,deal,P2,High,pending,42,0,3,1,38,High
SSV Electricals Pvt. Ltd.,followup,deal,P2,Low,pending,11,0,2,2,26.83,Medium
Signage and Design,followup,deal,P2,Medium,pending,42,0,3,1,35,High
Hsuma Industries,followup,lead,P2,High,pending,54,0,3,4,41,High
Sharin Bhausaheb Nalawade,followup,deal,P2,Low,pending,3,0,2,3,27.5,Medium
BRIGS ESPRO SERVICES,followup,deal,P2,Low,pending,46,0,4,1,34.67,High
Soham Enterprise,followup,deal,P2,Medium,pending,23,0,3,2,33.83,High
THE SHOPP,followup,lead,P2,High,pending,35,0,5,3,39.83,High
Azim arts,meeting,lead,P2,High,scheduled,35,0,5,1,33.83,High
Kakkara Signages,followup,lead,P2,High,pending,49,0,4,4,42.17,High
Lovely Crayon,meeting,lead,P2,Low,scheduled,60,0,3,3,32,High
SHREE DECOR STUDIO,meeting,deal,P2,High,scheduled,53,0,4,5,47.83,High
Arzyam Labs (OPC) private Limited,meeting,deal,P2,Low,scheduled,43,0,3,2,32.17,High
Himanshu Enterprises,meeting,deal,P2,High,scheduled,51,0,4,3,43.5,High
Smart ads,meeting,deal,P2,Low,scheduled,59,0,5,2,38.83,High
Outlook Advertising,meeting,lead,P2,Low,scheduled,37,0,0,0,16.17,Low
JYOTI PUBLICITY,meeting,lead,P2,High,scheduled,35,0,3,2,31.83,Medium
TEETANNART,meeting,lead,P2,High,scheduled,35,0,5,2,35.83,High
Multisyn,followup,deal,P2,Low,pending,1,0,2,3,27.17,Medium
Opulence Media,meeting,deal,P2,Medium,scheduled,28,0,2,2,30.67,Medium
Swostik Graphics,meeting,deal,P2,Low,scheduled,5,0,1,5,27.83,Medium
KIRAN OFFSET PRINTING PRESS,followup,deal,P2,Low,pending,5,0,2,3,27.83,Medium
ESPRITCO MEDIA LLP,followup,deal,P2,Low,pending,5,0,4,5,35.83,High
Yash Industries,meeting,deal,P2,Low,scheduled,1,0,1,2,21.17,Low
Magenta Sign,meeting,lead,P2,Low,scheduled,34,0,3,2,25.67,Medium
Srinidhi Sign Shoppe,meeting,deal,P2,Low,scheduled,31,0,5,1,32.17,High
Raj Arts,meeting,deal,P2,Low,scheduled,42,0,4,3,36,High
CREO SIGNS,followup,lead,P2,Low,pending,8,0,3,5,29.33,Medium
Maxit,followup,deal,P2,Medium,pending,28,0,1,4,34.67,High
City lights,followup,deal,P2,Low,pending,0,0,0,3,23,Low
Descon Infrastructures,meeting,lead,P2,Medium,scheduled,60,0,3,5,39,High
NG Brothers,followup,lead,P2,High,pending,21,0,0,1,23.5,Low
Sri Shivasai Creatives,meeting,lead,P2,Medium,scheduled,42,0,2,3,30,Medium
Brain Point,meeting,lead,P2,High,scheduled,44,0,4,0,31.33,Medium
G.D.ENTERPISES,meeting,deal,P2,Medium,scheduled,37,0,4,2,36.17,High
Advision Communication Pvt. Ltd.,meeting,deal,P2,High,scheduled,55,0,3,2,40.17,High
Varaprasad Choudary,followup,lead,P2,Medium,pending,13,0,3,0,23.17,Low
Shri Mahalaxmi Associats.,followup,deal,P2,Medium,pending,14,0,2,2,30.33,Medium
SIGNS N DSIGN,meeting,deal,P2,Low,scheduled,9,0,2,3,26.5,Medium
SRI SAI ENTERPRISES,followup,lead,P2,Medium,pending,10,0,3,3,28.67,Medium
CRE DESIGN SIGNAGE STUDIO,followup,deal,P2,Low,pending,0,0,0,3,23,Low
Direction Display,meeting,lead,P2,Low,scheduled,14,0,0,3,18.33,Low
A.S.GRAPHICS,followup,deal,P2,High,pending,9,0,2,3,34.5,High
Tirtha Signage Solutions,followup,deal,P2,Medium,pending,32,0,1,1,29.33,Medium
Admark,followup,deal,P2,Low,pending,11,0,2,3,28.83,Medium
CLIQUE BRAND INDIA LLP,followup,lead,P2,Low,pending,3,0,1,3,20.5,Low
JM Deepa Art,followup,deal,P2,Medium,pending,25,0,3,3,36.17,High
Dzire Graphics,followup,deal,P2,Medium,pending,27,0,2,3,34.5,High
Fine Pro Multi Developers,followup,deal,P2,High,pending,11,0,1,3,32.83,High
VJR Signs,meeting,deal,P2,Medium,scheduled,13,0,2,4,32.17,High
MK Sign,meeting,lead,P2,Medium,scheduled,22,0,3,4,30.67,Medium
SILVERLINE WORLD,followup,lead,P2,High,pending,3,0,1,2,24.5,Low
Siddhivinayak enterprises,followup,lead,P2,High,pending,44,0,4,3,39.33,High
MAGENTA COMMUNICATION,meeting,deal,P2,High,scheduled,8,0,1,2,28.33,Medium
Creative Arts,meeting,deal,P2,Low,scheduled,17,0,2,3,27.83,Medium
Mahakali prints,followup,lead,P2,High,pending,37,0,2,2,32.17,High
LPFLEX Sign India Pvt. Ltd.,followup,lead,P2,Medium,pending,31,0,3,0,26.17,Medium
JYOTI TRADING COMPANY,meeting,lead,P2,Low,scheduled,5,0,0,1,12.83,Low
Creative Advertising,meeting,deal,P2,Low,scheduled,4,0,1,3,23.67,Low
Descon Infrastructures,followup,lead,P2,Medium,pending,22,0,2,2,26.67,Medium
Fabworks,meeting,lead,P2,High,scheduled,55,0,5,2,39.17,High
BRAND SIGNS,meeting,deal,P2,High,scheduled,35,0,3,2,36.83,High
KANSAI VERSATILE RESOURCES,followup,lead,P2,Low,pending,0,0,1,2,18,Low
wattamwar defence and Arospace Pvt. Ltd,followup,lead,P2,Low,pending,4,0,1,5,24.67,Low
LORENZ IMAGING,followup,lead,P2,Medium,pending,20,0,1,2,24.33,Low
creative signs,followup,lead,P2,Medium,pending,0,0,2,2,23,Low
Stylo Maximage Unit Of Stylo Graphics Private Limited,meeting,deal,P2,Low,scheduled,14,0,2,5,31.33,Medium
Jai Maa Sheetla Enterprises,meeting,deal,P2,High,scheduled,3,0,2,4,33.5,High
nexus creative,meeting,lead,P2,Low,scheduled,0,0,2,3,20,Low
Green Tech Solutions,followup,lead,P2,Medium,pending,32,0,1,3,28.33,Medium
Inkfish Creations,followup,deal,P2,Medium,pending,19,0,5,3,39.17,High
Kaarmik,followup,deal,P2,Low,pending,7,0,1,5,30.17,Medium
Onepath integrated Solutions pvt Ltd,followup,deal,P2,Low,pending,6,0,0,3,24,Low
Gaurav Sales Corporation,followup,deal,P2,Medium,pending,53,0,3,2,38.83,High
BHAGAVATI PRINTING AND TRADING CO.,meeting,lead,P2,High,scheduled,35,0,5,3,37.83,High
Gloplast Advertising Pvt. Ltd.,followup,deal,P2,Low,pending,12,0,2,4,31,Medium
SUFALAM STREET,meeting,deal,P2,Medium,scheduled,30,0,3,5,39,High
Design world,followup,lead,P2,Low,pending,7,0,2,5,27.17,Medium
CYAN ENTERPRISES,meeting,deal,P2,Medium,scheduled,13,0,3,3,32.17,High
MK Sign,meeting,lead,P2,Medium,scheduled,22,0,3,1,24.67,Low
Signage Solutions,meeting,lead,P2,Medium,scheduled,60,0,5,1,35,High
POSITIVE IMAGES,followup,deal,P2,High,pending,36,0,3,4,43,High
Jyotsna Art Creation,followup,deal,P2,Medium,pending,49,0,2,3,38.17,High
Swastik Digital,followup,lead,P2,Medium,pending,8,0,1,3,24.33,Low
RSK consultancy,followup,deal,P2,Low,pending,5,0,2,1,23.83,Low
SK Digital Signs,meeting,deal,P2,Low,scheduled,38,0,2,1,27.33,Medium
AMOL GRAPHICS,followup,deal,P2,High,pending,6,0,0,2,28,Medium
ankush arts,followup,deal,P2,High,pending,35,0,1,1,32.83,High
Deepak Advertising,followup,deal,P2,High,pending,40,0,2,5,43.67,High
Artistic Prints,meeting,lead,P2,Low,scheduled,8,0,2,2,19.33,Low
Sign & Glaze,followup,deal,P2,Medium,pending,19,0,2,4,35.17,High
Nishitha ads,meeting,deal,P2,Low,scheduled,5,0,2,5,29.83,Medium
Midas touch creations,followup,deal,P2,Low,pending,6,0,2,3,28,Medium
testp,followup,deal,P2,Low,pending,2,0,1,2,23.33,Low
Soham Enterprise,meeting,lead,P2,Low,scheduled,15,0,2,2,20.5,Low
YT Sign Solution,followup,deal,P2,Medium,pending,40,0,3,5,42.67,High
VAMA SAFETY,followup,lead,P2,Medium,pending,26,0,2,2,27.33,Medium
Signage Partner,meeting,deal,P2,Low,scheduled,8,0,4,2,28.33,Medium
Teetan Art,followup,deal,P2,Medium,pending,8,0,1,4,31.33,Medium
Adinn advertising services limited,followup,deal,P2,High,pending,53,0,5,3,47.83,High
The Sign World Enterprises,followup,lead,P2,High,pending,45,0,3,0,31.5,Medium
L K Creations,followup,deal,P2,Low,pending,2,0,1,5,29.33,Medium
Magenta Sign,followup,deal,P2,High,pending,37,0,3,2,39.17,High
Cosign India Pvt Ltd,meeting,lead,P2,Medium,scheduled,29,0,3,2,27.83,Medium
Fenix Advertising,meeting,lead,P2,High,scheduled,35,0,5,3,37.83,High
The Exclusive,meeting,deal,P2,Medium,scheduled,19,0,3,3,33.17,High
New Alif Enterprises,meeting,deal,P2,High,scheduled,35,0,4,4,42.83,High
Taj Advertising,meeting,deal,P2,Medium,scheduled,14,0,2,3,30.33,Medium
Bigg Impact Advertising,followup,lead,P2,Medium,pending,59,0,3,4,38.83,High
Kala Indesign,followup,lead,P2,High,pending,46,0,4,0,33.67,High
Shadows,meeting,deal,P2,Low,scheduled,7,0,2,3,26.17,Medium
THE DEVINE ART,followup,lead,P2,Low,pending,6,0,2,0,17,Low
Sarode Arts And Gifts,followup,deal,P2,High,pending,51,0,1,0,33.5,High
Brand Value Sign Solution,meeting,deal,P2,Medium,scheduled,23,0,5,4,39.83,High
A one Arts,meeting,lead,P2,Low,scheduled,7,0,2,1,17.17,Low
rutika testing,followup,lead,P2,Medium,pending,51,0,3,5,39.5,High
PRINTOUCH,followup,deal,P2,Medium,pending,40,0,4,2,38.67,High
R R Consultancy,followup,deal,P2,Low,pending,6,0,2,4,30,Medium
Ideal Creations,followup,deal,P2,High,pending,53,0,4,2,43.83,High
Mindmade,followup,deal,P2,Low,pending,42,0,4,5,42,High
Five Star Creatives,followup,deal,P2,Medium,pending,11,0,1,2,27.83,Medium
"SDR Enterprises,",followup,deal,P2,Low,pending,6,0,2,3,28,Medium
Galore,followup,deal,P2,High,pending,21,0,3,1,34.5,High
KALPANA STRUCT-CON PVT LTD,followup,deal,P2,Medium,pending,4,0,2,0,24.67,Low
Cosign Bangalore,followup,deal,P2,High,pending,60,0,5,2,47,High
Woodpecker interieurs,meeting,deal,P2,Medium,scheduled,3,0,0,4,26.5,Medium
Sharp Signs,meeting,lead,P2,High,scheduled,4,0,3,1,24.67,Low
Signature Graphics,followup,lead,P2,Low,pending,45,0,3,3,31.5,Medium
Ingenious Solution Group,followup,lead,P2,Medium,pending,39,0,1,2,27.5,Medium
test mplanner lead,meeting,deal,P2,Medium,scheduled,19,0,3,3,33.17,High
CREO SIGNS,followup,deal,P2,Low,pending,3,0,2,3,27.5,Medium
Designworks,followup,deal,P2,High,pending,12,0,2,3,35,High
ANS Enterprises,followup,deal,P2,High,pending,35,0,3,2,38.83,High
3S Photo Art Pvt Ltd,followup,deal,P2,Low,pending,0,0,3,3,29,Medium
SHILP CREATION,meeting,lead,P2,High,scheduled,13,0,2,4,30.17,Medium
Wattamwar Capital,meeting,deal,P2,High,scheduled,17,0,4,3,37.83,High
L K Creations,meeting,deal,P2,Medium,scheduled,33,0,1,2,29.5,Medium
Amreesh Neon Pvt Ltd,meeting,deal,P2,Medium,scheduled,10,0,1,4,29.67,Medium
XS,followup,lead,P2,Medium,pending,39,0,1,3,29.5,Medium
21st Century Signs,followup,lead,P2,Low,pending,48,0,3,1,28,Medium
Origon Branding solutions,followup,lead,P2,High,pending,60,0,4,5,46,High
